,Subrun,Event,Type,Num,Pred,Prob,ystart,yend,ydiff,length,Eng,Michel
41,150,7488,Pion,1.0,1.0,0.997335,-10.7515,85.9965,96.748,114.064,0.431138,0
42,234,11668,Pion,1.0,1.0,0.972905,93.5963,107.581,13.9852,31.5566,0.56598,0
43,183,9107,Pion,1.0,1.0,0.999997,-34.6489,-32.7252,1.92366,5.38516,1.77122,0
44,215,10737,Pion,1.0,1.0,0.999387,-62.0923,-45.392,16.7003,55.9512,1.87918,0
45,216,10772,Pion,1.0,1.0,0.525002,70.6044,117.472,46.8676,92.7708,1.80049,0
46,204,10187,Pion,1.0,1.0,0.983998,-93.7434,-59.6764,34.067,55.8874,1.86058,0
47,141,7026,Pion,1.0,1.0,0.958992,-46.8244,55.5426,102.367,114.477,1.94214,0
48,186,9294,Pion,1.0,1.0,0.93378,90.0099,117.411,27.4006,32.1079,0.347887,0
49,210,10492,Pion,1.0,1.0,0.928414,-21.0688,-50.6148,29.546,147.03,1.17384,0
50,193,9638,Pion,1.0,1.0,0.657968,50.06,39.4232,10.6368,30.3818,1.05908,0
51,195,9741,Pion,1.0,1.0,0.997365,10.27,21.4495,11.1795,39.9259,0.717507,0
52,273,13634,Pion,1.0,1.0,0.999857,77.3121,18.0123,59.2998,115.518,1.07108,0
53,223,11147,Pion,1.0,0.0,0.824272,61.6922,117.264,55.5722,78.9934,1.67957,0
54,147,7347,Pion,1.0,1.0,0.980384,-12.5053,27.9828,40.4881,68.1664,0.541973,0
55,147,7347,Pion,1.0,1.0,0.980384,-13.0686,-10.9213,2.14734,3.17699,0.541973,0
56,151,7516,Pion,1.0,1.0,0.992477,-58.7601,62.7666,121.527,208.014,1.49858,0
57,130,6489,Pion,1.0,1.0,0.998755,-10.7927,16.2433,27.0359,46.3474,0.517965,0
58,152,7584,Pion,1.0,1.0,0.876001,-21.1959,-41.8873,20.6914,59.443,1.13533,0
59,206,10256,Pion,1.0,0.0,0.755499,-17.3787,-32.7761,15.3974,45.4208,1.14262,0
60,206,10256,Pion,1.0,0.0,0.755499,-17.8654,-18.4739,0.60845,3.05867,1.14262,0
61,141,7041,Pion,1.0,1.0,0.99999,23.7349,54.1659,30.431,61.0457,1.39986,0
62,224,11183,Pion,1.0,1.0,0.998964,10.3882,-38.7098,49.098,60.6081,1.7472,0
63,201,10032,Pion,1.0,0.0,0.806316,-47.4788,-60.4749,12.9962,116.315,0.652052,0
64,201,10032,Pion,1.0,0.0,0.806316,-59.7411,-73.9315,14.1904,36.8853,0.652052,0
65,206,10291,Pion,1.0,1.0,0.97381,-25.1045,10.1888,35.2933,40.4326,0.645762,0
66,156,7767,Pion,1.0,1.0,0.993778,-56.1045,-67.5622,11.4577,97.6127,1.68182,0
67,139,6950,Pion,1.0,1.0,0.944862,11.4856,82.2149,70.7292,74.3497,0.347113,0
68,212,10590,Pion,1.0,1.0,0.980163,46.2115,-37.1292,83.3407,96.2346,0.665447,0
69,133,6640,Pion,1.0,1.0,0.996536,10.0296,69.0695,59.0398,104.304,1.73613,0
70,189,9428,Pion,1.0,1.0,0.999695,3.49009,7.80372,4.31364,20.8866,1.6713,0
71,189,9428,Pion,1.0,1.0,0.999695,4.69972,6.11845,1.41874,1.43508,1.6713,0
72,201,10007,Pion,1.0,1.0,0.999686,-25.5104,-9.59346,15.9169,36.3092,0.961508,0
73,98,4895,Pion,1.0,1.0,0.998769,40.9772,66.2225,25.2453,94.2139,1.72656,0
74,136,6772,Pion,1.0,1.0,0.99952,14.1078,-3.59672,17.7045,32.9596,0.647829,0
75,273,13626,Pion,1.0,0.0,0.860652,-115.595,-6.17379,109.421,140.088,0.953321,0
76,152,7554,Pion,1.0,1.0,0.999387,-6.70831,10.8745,17.5829,30.3529,0.567821,0
77,205,10215,Pion,1.0,1.0,0.994505,84.2624,101.593,17.331,40.8581,0.965436,0
78,149,7422,Pion,1.0,0.0,0.572343,-48.9672,-73.2415,24.2744,34.7529,1.66333,0
79,233,11620,Pion,1.0,1.0,0.828879,100.325,90.6518,9.67342,136.794,1.44077,0
80,266,13286,Pion,1.0,1.0,0.951753,33.8645,29.6204,4.24408,55.2522,0.407057,0
81,266,13286,Pion,1.0,1.0,0.951753,34.0307,36.9809,2.9502,3.61977,0.407057,0
82,131,6520,Pion,1.0,1.0,0.99657,6.04637,55.9579,49.9115,56.2091,1.74732,0
83,141,7035,Pion,1.0,1.0,0.99646,75.9441,117.436,41.4915,44.5121,1.30676,0
84,267,13313,Pion,1.0,1.0,0.999903,78.4901,94.6404,16.1502,42.5396,1.67536,0
85,139,6920,Pion,1.0,1.0,0.51103,45.6909,117.371,71.6802,78.7377,1.36208,0
86,263,13145,Pion,1.0,0.0,0.762278,-52.4251,-51.88,0.545193,100.332,0.819255,0
87,228,11375,Pion,1.0,1.0,0.560138,39.1115,71.8292,32.7177,66.9227,1.32476,0
88,214,10675,Pion,1.0,1.0,0.999778,-72.8839,-87.5648,14.6809,66.8808,1.15302,0
89,193,9639,Pion,1.0,0.0,0.784973,-3.61834,1.71675,5.33509,21.3489,1.22298,0
90,143,7106,Pion,1.0,1.0,0.999346,4.13407,-11.4272,15.5613,124.664,1.77355,0
91,187,9333,Pion,1.0,1.0,0.985736,-59.7652,-39.5749,20.1903,58.7506,1.04516,0
92,262,13068,Pion,1.0,0.0,0.915183,113.558,113.486,0.0712357,4.30304,1.36809,0
93,227,11308,Pion,1.0,1.0,0.983606,-3.7551,-64.1293,60.3742,63.8144,0.886413,0
94,154,7652,Pion,1.0,1.0,0.991564,91.0698,85.4843,5.58547,37.9221,0.72309,0
95,140,6988,Pion,1.0,1.0,0.992661,-1.66995,4.24911,5.91906,140.786,1.15496,0
96,200,9982,Pion,1.0,1.0,0.925679,87.0504,-111.175,198.225,425.571,1.25477,0
97,200,9968,Pion,1.0,1.0,0.999026,56.8352,4.24724,52.5879,61.6969,1.36287,0
98,189,9414,Pion,1.0,1.0,0.999917,-76.6282,-96.7891,20.1609,51.1348,1.60247,0
99,195,9740,Pion,1.0,0.0,0.585545,-54.4254,-26.5376,27.8877,111.399,1.99012,0
100,270,13454,Pion,1.0,1.0,0.740586,-110.949,-81.2573,29.692,184.056,0.669906,0
101,139,6938,Pion,1.0,1.0,0.999552,-2.89365,11.502,14.3957,17.1215,1.11386,0
102,190,9474,Pion,1.0,1.0,0.932622,-104.571,-105.083,0.511734,9.79378,0.709899,0
103,149,7440,Pion,1.0,0.0,0.715684,32.4946,-94.3908,126.885,131.069,0.74394,0
104,97,4845,Pion,1.0,1.0,0.963913,-22.1111,-41.5141,19.403,32.4001,0.337969,0
105,147,7318,Pion,1.0,0.0,0.701704,117.473,101.053,16.4199,17.4651,0.964175,0
106,146,7252,Pion,1.0,1.0,0.932693,45.5903,-6.26074,51.851,54.5422,0.416982,0
107,146,7252,Pion,1.0,1.0,0.932693,-4.33109,6.79154,11.1226,29.9202,0.416982,0
108,146,7252,Pion,1.0,1.0,0.932693,-5.58425,-4.91385,0.670401,23.4022,0.416982,0
109,397,19801,Pion,1.0,1.0,0.99719,7.41865,-56.8521,64.2707,117.216,1.78702,0
110,201,10034,Pion,1.0,1.0,0.997209,51.6602,60.782,9.12182,114.0,1.1862,0
111,230,11464,Pion,1.0,0.0,0.687411,93.3206,93.3199,0.00063324,20.7373,1.69204,0
112,224,11161,Pion,1.0,0.0,0.530402,-22.5914,-107.408,84.8168,95.0193,1.35273,0
113,211,10515,Pion,1.0,0.0,0.758642,-18.9599,-39.6247,20.6648,45.7389,1.60161,0
114,132,6555,Pion,1.0,1.0,0.993699,41.947,21.0627,20.8844,27.5777,0.423133,0
115,156,7769,Pion,1.0,0.0,0.515023,42.8293,18.5495,24.2798,69.6502,0.348097,0
116,147,7329,Pion,1.0,1.0,0.998466,20.8328,38.079,17.2462,173.382,1.30672,0
117,259,12915,Pion,1.0,1.0,0.744013,-89.142,-78.174,10.968,23.1779,0.251418,0
118,203,10150,Pion,1.0,1.0,0.981924,85.0737,112.695,27.6216,84.6129,0.412308,0
119,202,10060,Pion,1.0,1.0,0.685598,-12.5391,-11.82,0.719138,30.0327,1.81028,0
120,202,10060,Pion,1.0,1.0,0.685598,-13.8972,-12.6596,1.23761,5.28311,1.81028,0
121,226,11262,Pion,1.0,1.0,0.991049,75.4454,60.7073,14.7381,19.8768,0.388537,0
122,198,9891,Pion,1.0,1.0,0.624095,-115.487,-110.662,4.82543,5.85095,1.00281,0
123,222,11069,Pion,1.0,1.0,0.996861,-89.5994,-63.5072,26.0922,43.1878,0.532683,0
124,146,7264,Pion,1.0,1.0,0.976771,-36.8392,-37.2583,0.419079,6.52306,0.181481,0
125,214,10680,Pion,1.0,1.0,0.923728,-16.4474,71.9186,88.366,111.748,0.910915,0
126,260,12992,Pion,1.0,0.0,0.944872,-80.2522,-99.0808,18.8285,147.117,1.74254,0
127,232,11572,Pion,1.0,0.0,0.929797,15.2935,70.5682,55.2747,87.5955,1.98047,0
128,265,13242,Pion,1.0,1.0,0.984793,95.7257,88.3507,7.37498,29.8807,0.250821,0
129,155,7706,Pion,1.0,0.0,0.732428,118.468,97.9829,20.4856,27.5865,1.54948,0
130,157,7818,Pion,1.0,1.0,0.998148,-66.3806,-16.4679,49.9126,68.7442,1.22628,0
131,195,9702,Pion,1.0,1.0,0.999932,32.123,13.5936,18.5294,41.9262,1.13438,0
132,268,13369,Pion,1.0,0.0,0.823518,117.317,82.4071,34.9104,48.4198,1.63061,0
133,98,4851,Pion,1.0,0.0,0.803477,0.108711,117.209,117.1,121.192,1.63254,0
134,208,10361,Pion,1.0,1.0,0.997617,-69.2364,-71.345,2.1086,11.7183,0.693886,0
135,233,11630,Pion,1.0,1.0,0.964343,-91.7842,-93.2108,1.42669,23.6201,1.01875,0
136,207,10310,Pion,1.0,1.0,0.997372,-48.0339,-37.3334,10.7005,65.723,0.727731,0
137,138,6882,Pion,1.0,1.0,0.995074,71.4012,77.4626,6.06141,22.8833,0.722971,0
138,259,12932,Pion,1.0,1.0,0.999328,-69.2724,3.17072,72.4431,100.577,0.793208,0
139,200,9989,Pion,1.0,1.0,0.993089,1.98548,-13.3872,15.3727,16.4955,1.63425,0
140,148,7399,Pion,1.0,0.0,0.770818,-81.7516,-52.3701,29.3814,115.89,1.73118,0
141,187,9335,Pion,1.0,0.0,0.615552,-3.87502,-18.1958,14.3208,18.7289,0.878266,0
142,154,7688,Pion,1.0,1.0,0.939297,-110.167,-103.207,6.9597,8.04035,0.345632,0
143,266,13256,Pion,1.0,1.0,0.969364,-68.5623,96.2914,164.854,246.379,1.26826,0
144,137,6814,Pion,1.0,1.0,0.999,-59.1292,-12.8642,46.2651,99.9815,1.89634,0
145,137,6814,Pion,1.0,1.0,0.999,-63.0376,-65.8495,2.81188,6.60707,1.89634,0
146,203,10114,Pion,1.0,1.0,0.918363,-44.0657,-41.1893,2.87646,16.0185,1.38062,0
147,158,7882,Pion,1.0,1.0,0.99884,66.7561,83.2364,16.4803,37.7856,1.64424,0
148,210,10471,Pion,1.0,1.0,0.999969,24.5121,25.0221,0.510067,50.1388,1.17602,0
149,269,13439,Pion,1.0,1.0,0.887788,75.1789,82.6551,7.47614,91.6888,1.63693,0
150,210,10500,Pion,1.0,1.0,0.999855,40.3884,17.8319,22.5565,54.4215,1.01982,0
151,197,9812,Pion,1.0,1.0,0.799057,-85.4163,-91.0007,5.58443,22.2275,0.574152,0
152,190,9483,Pion,1.0,1.0,0.991755,81.4354,66.0093,15.4261,148.074,0.781044,0
153,208,10357,Pion,1.0,0.0,0.701466,77.4937,72.9034,4.59029,11.2683,0.544125,0
154,194,9682,Pion,1.0,1.0,0.703372,21.0008,8.62206,12.3788,18.9668,0.277368,0
155,223,11115,Pion,1.0,0.0,0.692475,88.7978,116.224,27.4259,28.1193,1.2921,0
156,150,7482,Pion,1.0,1.0,0.9954,117.481,-80.96,198.441,215.901,1.53716,0
157,98,4872,Pion,1.0,1.0,0.999895,68.5375,59.749,8.78858,169.355,1.77673,0
158,233,11641,Pion,1.0,1.0,0.998938,46.6095,-121.345,167.954,177.071,1.87299,0
159,261,13034,Pion,1.0,1.0,0.732857,-17.1669,-39.8735,22.7066,39.4051,0.622052,0
160,151,7526,Pion,1.0,0.0,0.906343,84.7728,96.6955,11.9227,79.1597,1.94254,0
161,234,11666,Pion,1.0,1.0,0.963714,-22.8341,-72.3368,49.5027,56.374,1.03007,0
162,206,10290,Pion,1.0,1.0,0.981968,35.3123,56.3056,20.9933,50.3942,1.48679,0
163,261,13002,Pion,1.0,1.0,0.999639,19.5797,73.7063,54.1266,71.3019,0.986944,0
164,138,6891,Pion,1.0,1.0,0.999933,-92.359,-91.7044,0.654663,10.5274,0.822685,0
165,197,9849,Pion,1.0,1.0,0.998359,13.5617,29.4658,15.9041,30.2671,1.40176,0
166,218,10887,Pion,1.0,1.0,0.980652,-108.441,-103.949,4.49194,10.9672,0.533051,0
167,185,9211,Pion,1.0,1.0,0.996901,-0.0540825,-57.339,57.2849,99.1616,0.951148,0
168,195,9737,Pion,1.0,1.0,0.976293,-66.6178,-15.1241,51.4937,54.4772,1.94143,0
169,157,7820,Pion,1.0,1.0,0.853389,85.0349,87.2136,2.17869,40.2815,0.359106,0
170,157,7820,Pion,1.0,1.0,0.853389,86.4903,92.4525,5.96222,24.6018,0.359106,0
171,157,7820,Pion,1.0,1.0,0.853389,92.7171,93.5046,0.787483,12.3467,0.359106,0
172,135,6713,Pion,1.0,1.0,0.79212,103.973,68.4513,35.5213,67.6549,0.404582,0
173,136,6793,Pion,1.0,1.0,0.99461,58.9383,62.6619,3.72362,4.43296,0.717552,0
174,191,9502,Pion,1.0,1.0,0.998804,-13.3092,-28.7076,15.3984,44.592,0.999036,0
175,270,13486,Pion,1.0,1.0,0.999997,-13.2965,61.6871,74.9836,101.271,1.14648,0
176,396,19773,Pion,1.0,0.0,0.854803,71.1595,54.3704,16.7892,100.126,0.398771,0
177,144,7167,Pion,1.0,0.0,0.654834,-20.6636,21.4276,42.0912,57.4166,0.928387,0
178,189,9408,Pion,1.0,1.0,0.736542,-52.9831,-59.4145,6.43136,11.7422,0.197636,0
179,192,9567,Pion,1.0,0.0,0.704341,117.415,66.9258,50.4887,51.5671,0.901969,0
180,230,11490,Pion,1.0,0.0,0.672735,117.203,95.4169,21.7858,22.3244,1.58615,0
181,156,7762,Pion,1.0,1.0,0.997885,105.384,43.4509,61.9334,101.354,1.32777,0
182,182,9098,Pion,1.0,1.0,0.927775,-41.7182,-115.5,73.7818,80.7981,0.833128,0
183,132,6586,Pion,1.0,1.0,0.997866,34.2793,23.4959,10.7834,43.1954,0.367752,0
184,188,9383,Pion,1.0,1.0,0.972687,-63.6932,51.6983,115.391,163.779,0.889972,0
185,233,11610,Pion,1.0,1.0,0.99951,15.8874,-21.2241,37.1115,169.753,1.30785,0
186,233,11610,Pion,1.0,1.0,0.99951,15.857,20.535,4.67801,21.8281,1.30785,0
187,233,11610,Pion,1.0,1.0,0.99951,-21.5371,-23.0809,1.54375,6.4838,1.30785,0
188,136,6775,Pion,1.0,1.0,0.995713,-99.5613,-95.5502,4.01111,84.1043,1.82022,0
189,188,9362,Pion,1.0,1.0,0.995116,91.2544,98.2989,7.04451,41.5152,1.99828,0
190,273,13604,Pion,1.0,1.0,0.976696,41.9897,13.225,28.7647,119.009,0.606499,0
191,259,12923,Pion,1.0,0.0,0.738517,88.6826,117.462,28.7796,30.1043,0.559956,0
192,258,12890,Pion,1.0,1.0,0.999192,63.6932,54.2778,9.41535,12.9485,1.68742,0
193,139,6944,Pion,1.0,0.0,0.706766,-46.0574,-48.9425,2.88513,4.55957,1.64752,0
194,139,6944,Pion,1.0,0.0,0.706766,-47.4775,-47.6458,0.16832,1.45072,1.64752,0
195,194,9656,Pion,1.0,1.0,0.999933,65.6745,116.29,50.6155,64.1606,1.89536,0
196,227,11302,Pion,1.0,1.0,0.717121,103.405,83.3524,20.0524,28.2428,0.492625,0
197,135,6742,Pion,1.0,1.0,0.988038,-51.1301,-28.4326,22.6975,44.7479,0.458353,0
198,224,11156,Pion,1.0,0.0,0.930443,27.5265,14.9903,12.5362,80.7365,1.65492,0
199,184,9166,Pion,1.0,0.0,0.796368,-90.4416,-115.418,24.9759,61.5398,0.55355,0
200,138,6899,Pion,1.0,1.0,0.937897,103.714,87.1484,16.566,57.2896,1.7114,0
201,141,7003,Pion,1.0,1.0,0.994643,76.3,-49.0601,125.36,188.266,1.32283,0
202,262,13089,Pion,1.0,1.0,0.557959,-61.9187,-75.1337,13.215,59.4117,0.457584,0
203,222,11068,Pion,1.0,0.0,0.813945,117.399,33.5731,83.8256,100.434,1.69787,0
204,198,9885,Pion,1.0,1.0,0.885988,68.2486,84.7392,16.4906,18.9892,0.560388,0
205,224,11173,Pion,1.0,1.0,0.999933,-2.50277,25.8174,28.3202,62.1282,1.50427,0
206,208,10399,Pion,1.0,0.0,0.949745,27.4656,-7.40112,34.8667,143.338,1.96211,0
207,217,10835,Pion,1.0,0.0,0.805895,36.8,63.4409,26.641,53.133,1.50604,0
208,207,10306,Pion,1.0,1.0,0.999963,-39.1674,-2.61721,36.5502,43.6035,1.2843,0
209,215,10731,Pion,1.0,0.0,0.706397,-15.3012,-9.10897,6.19219,8.58506,1.62033,0
210,270,13480,Pion,1.0,1.0,0.803064,92.9277,33.3825,59.5452,99.1656,0.689933,0
211,139,6948,Pion,1.0,0.0,0.703065,-10.6883,13.0726,23.7608,64.8102,0.468467,0
212,139,6948,Pion,1.0,0.0,0.703065,-9.95984,4.34066,14.3005,62.9914,0.468467,0
213,141,7042,Pion,1.0,1.0,0.999767,-54.7543,-58.6512,3.89692,141.605,1.17049,0
214,141,7042,Pion,1.0,1.0,0.999767,-58.4675,-57.7914,0.676128,6.39071,1.17049,0
215,197,9822,Pion,1.0,1.0,0.599827,60.4768,38.5556,21.9212,89.7123,1.15657,0
216,207,10320,Pion,1.0,1.0,0.952867,3.82204,10.1547,6.33269,19.6046,0.448548,0
217,147,7328,Pion,1.0,1.0,0.991787,33.8682,44.1538,10.2857,13.0491,1.64441,0
218,183,9122,Pion,1.0,1.0,0.982049,96.0076,116.548,20.5401,40.7715,1.73895,0
219,140,6959,Pion,1.0,0.0,0.743385,-54.0855,-115.49,61.4045,65.442,1.67842,0
220,210,10476,Pion,1.0,0.0,0.891325,-108.832,-77.8761,30.9555,44.5171,1.78474,0
221,231,11522,Pion,1.0,1.0,0.948563,-49.9252,-113.823,63.8979,87.8288,0.664993,0
222,269,13413,Pion,1.0,1.0,0.61831,-40.5852,-99.2272,58.642,119.685,1.57008,0
223,397,19827,Pion,1.0,1.0,0.987683,61.6643,55.3989,6.26547,9.29126,0.274626,0
224,148,7398,Pion,1.0,1.0,0.991983,103.405,11.815,91.5902,124.317,1.6241,0
225,145,7241,Pion,1.0,1.0,0.998823,64.4095,116.915,52.5054,91.7474,1.50377,0
226,134,6696,Pion,1.0,1.0,0.994642,-74.5174,-97.3487,22.8313,28.8011,0.766753,0
227,153,7631,Pion,1.0,1.0,0.984172,-69.8688,-47.5659,22.3028,42.8775,1.09608,0
228,138,6867,Pion,1.0,0.0,0.786654,94.5505,101.416,6.86532,61.2524,1.93292,0
229,192,9581,Pion,1.0,1.0,0.999562,-20.0616,-28.6706,8.60903,45.5039,1.58287,0
230,260,12976,Pion,1.0,1.0,0.999491,7.02891,30.2742,23.2453,47.7063,0.642694,0
231,136,6788,Pion,1.0,0.0,0.936229,53.5041,74.57,21.0659,126.834,1.75793,0
232,136,6788,Pion,1.0,0.0,0.936229,60.1739,60.7086,0.534657,18.5896,1.75793,0
233,136,6788,Pion,1.0,0.0,0.936229,56.6286,56.592,0.036541,8.21159,1.75793,0
234,206,10285,Pion,1.0,1.0,0.977634,-43.7724,-15.4897,28.2827,49.0252,1.11321,0
235,396,19785,Pion,1.0,1.0,0.999921,94.144,86.2018,7.94223,32.1919,1.25655,0
236,203,10103,Pion,1.0,1.0,0.995704,4.71629,-43.4366,48.1529,64.9378,1.21237,0
237,262,13096,Pion,1.0,1.0,0.968441,-99.2213,-7.62228,91.599,103.904,1.70074,0
238,207,10323,Pion,1.0,0.0,0.832851,78.1275,89.4386,11.3111,11.7953,1.97522,0
239,144,7184,Pion,1.0,1.0,0.981655,117.333,19.2826,98.0503,149.709,1.91672,0
240,209,10424,Pion,1.0,1.0,0.505069,76.944,77.0112,0.0672073,7.01691,0.178797,0
241,210,10473,Pion,1.0,1.0,0.909481,-93.1203,-97.8646,4.74436,15.2251,0.825312,0
242,207,10341,Pion,1.0,1.0,0.992681,44.4468,-67.2009,111.648,113.873,0.884936,0
243,196,9788,Pion,1.0,1.0,0.993775,95.227,-54.5525,149.78,160.724,1.44088,0
244,146,7263,Pion,1.0,1.0,0.996413,-51.0407,23.5092,74.5499,150.046,2.00235,0
245,146,7263,Pion,1.0,1.0,0.996413,-52.572,-53.7444,1.17234,1.23759,2.00235,0
246,218,10860,Pion,1.0,0.0,0.732969,79.1078,117.341,38.2333,48.2882,1.79374,0
247,397,19806,Pion,1.0,1.0,0.99887,-61.0928,-30.8801,30.2127,36.4706,0.522748,0
248,184,9158,Pion,1.0,1.0,0.712971,-37.1475,0.147,37.2945,72.2278,0.85252,0
249,230,11492,Pion,1.0,1.0,0.865344,43.9738,29.9644,14.0094,36.5459,0.313997,0
250,230,11492,Pion,1.0,1.0,0.865344,39.0866,55.3224,16.2357,27.221,0.313997,0
251,269,13404,Pion,1.0,1.0,0.997361,74.6237,75.4136,0.789886,8.14464,0.695214,0
252,258,12891,Pion,1.0,1.0,0.999127,-82.4645,-80.0927,2.37184,51.8773,0.29897,0
253,215,10714,Pion,1.0,0.0,0.80288,24.5096,4.51209,19.9975,25.0819,1.68968,0
254,258,12867,Pion,1.0,0.0,0.764955,13.3452,15.0904,1.74514,19.6219,0.687892,0
255,152,7551,Pion,1.0,1.0,0.996047,2.89214,-2.47109,5.36324,21.6859,1.58069,0
256,270,13456,Pion,1.0,1.0,0.970943,108.635,84.2782,24.3568,45.9821,1.03013,0
257,151,7510,Pion,1.0,0.0,0.802691,89.851,58.3668,31.4842,61.3231,0.409462,0
258,218,10853,Pion,1.0,1.0,0.996589,118.477,3.73296,114.744,140.973,1.58363,0
259,130,6495,Pion,1.0,0.0,0.92675,44.0643,41.0696,2.99474,96.6136,0.479938,0
260,182,9081,Pion,1.0,1.0,0.966475,35.7927,39.2796,3.4869,101.454,0.549355,0
261,133,6608,Pion,1.0,1.0,0.977501,-41.076,-49.4806,8.40463,31.8769,0.668587,0
262,219,10926,Pion,1.0,1.0,0.993668,-85.1218,-83.4549,1.66694,71.2781,1.11151,0
263,158,7890,Pion,1.0,1.0,0.971339,23.6916,14.6391,9.05252,30.5541,0.2517,0
264,222,11090,Pion,1.0,1.0,0.999081,-39.5925,-24.9004,14.6921,63.3307,1.30883,0
265,218,10868,Pion,1.0,1.0,0.998386,-78.4977,-70.5926,7.90514,35.647,0.500523,0
266,133,6606,Pion,1.0,1.0,0.891869,-4.74072,-8.95208,4.21136,14.4547,0.206543,0
267,259,12931,Pion,1.0,1.0,0.612293,-115.614,-88.0392,27.5745,32.5576,1.68465,0
268,212,10578,Pion,1.0,1.0,0.967878,110.34,25.6641,84.6755,229.806,1.479,0
269,184,9174,Pion,1.0,1.0,0.955668,37.1205,34.3263,2.79424,24.906,0.469292,0
270,144,7198,Pion,1.0,1.0,0.973905,99.8369,-11.2733,111.11,169.366,0.858682,0
271,157,7821,Pion,1.0,1.0,0.999936,60.4724,-49.4322,109.905,232.475,1.65055,0
