,Subrun,Event,Type,Num,Pred,Prob,ystart,yend,ydiff,length
23,207,10339,Muon,0.0,0.0,0.737382,90.1653,73.5386,16.6266,18.5744
24,157,7845,Muon,0.0,0.0,0.919722,-115.51,-72.1548,43.3551,85.8082
25,386,19254,Muon,0.0,0.0,0.798718,-58.7054,-62.4475,3.74205,12.0591
26,386,19254,Muon,0.0,0.0,0.798718,-49.8476,-58.9726,9.12505,11.8915
27,386,19254,Muon,0.0,0.0,0.798718,-50.7566,-52.7408,1.98412,1.99612
28,157,7831,Muon,0.0,0.0,0.949067,-76.9426,-12.9004,64.0421,264.471
29,207,10347,Muon,0.0,0.0,0.749345,-25.5896,-28.1355,2.5459,3.99024
30,364,18178,Muon,0.0,0.0,0.959096,-115.461,82.5367,197.998,357.219
31,199,9913,Muon,0.0,0.0,0.926409,112.384,70.2626,42.1212,71.9164
32,199,9913,Muon,0.0,0.0,0.926409,110.886,112.236,1.34988,1.98157
33,343,17122,Muon,0.0,0.0,0.695313,11.6747,12.6866,1.01196,3.93726
34,223,11141,Muon,0.0,0.0,0.94652,-115.63,3.37894,119.009,166.729
35,288,14363,Muon,0.0,0.0,0.818683,-54.7045,-53.0541,1.65038,33.531
36,389,19443,Muon,0.0,0.0,0.920669,-28.4751,-114.713,86.2381,163.983
37,278,13897,Muon,0.0,0.0,0.859434,117.401,62.5285,54.8723,80.6268
38,268,13353,Muon,0.0,0.0,0.825576,117.321,32.4399,84.8806,105.593
39,226,11274,Muon,0.0,0.0,0.865575,-12.2059,-41.6595,29.4536,106.022
40,275,13723,Muon,0.0,0.0,0.95515,117.484,-57.5765,175.06,303.184
41,199,9904,Muon,0.0,0.0,0.583905,106.489,79.7154,26.7732,86.9401
42,101,5030,Muon,0.0,0.0,0.929579,-39.4375,-49.6856,10.248,71.9184
43,229,11405,Muon,0.0,0.0,0.836627,-73.7007,-115.629,41.9283,65.7809
44,229,11405,Muon,0.0,0.0,0.836627,-73.9226,-75.5012,1.57854,2.02517
45,280,13953,Muon,0.0,0.0,0.781885,-2.94342,-115.439,112.496,383.097
46,280,13953,Muon,0.0,0.0,0.781885,-1.10026,-2.04047,0.940208,3.24231
47,280,13953,Muon,0.0,0.0,0.781885,-3.38845,-3.24502,0.143437,4.37527
48,272,13572,Muon,0.0,0.0,0.808323,117.21,78.7662,38.4439,48.5045
49,231,11503,Muon,0.0,0.0,0.936472,28.7888,117.371,88.5822,121.919
50,286,14261,Muon,0.0,0.0,0.961668,62.2199,117.506,55.2861,199.674
51,257,12829,Muon,0.0,1.0,0.502925,7.46529,-115.413,122.878,150.616
52,257,12829,Muon,0.0,1.0,0.502925,-93.4679,-104.375,10.9074,15.3118
53,223,11148,Muon,0.0,0.0,0.808071,-7.70627,-17.8145,10.1082,53.7042
54,266,13275,Muon,0.0,0.0,0.946746,117.396,-40.9287,158.325,262.981
55,284,14153,Muon,0.0,0.0,0.920261,42.5713,16.2974,26.2739,96.9775
56,269,13450,Muon,0.0,1.0,0.564606,-34.7191,-23.1029,11.6162,29.9561
57,186,9281,Muon,0.0,0.0,0.778296,-86.7018,-115.544,28.8422,32.5237
58,260,12974,Muon,0.0,0.0,0.904733,117.571,65.4728,52.0986,302.168
59,209,10403,Muon,0.0,0.0,0.808796,-106.105,82.1708,188.276,191.467
60,209,10403,Muon,0.0,0.0,0.808796,-11.7684,-20.892,9.12353,9.78021
61,194,9666,Muon,0.0,0.0,0.910654,26.4333,-105.409,131.842,256.058
62,199,9946,Muon,0.0,0.0,0.911962,-10.2284,-17.6542,7.42581,82.0053
63,257,12805,Muon,0.0,0.0,0.885923,-94.6275,-115.463,20.8358,57.9978
64,275,13712,Muon,0.0,0.0,0.77085,-91.4724,-73.4342,18.0382,37.6461
65,279,13901,Muon,0.0,0.0,0.832184,-115.286,-21.3587,93.9274,107.418
66,260,12977,Muon,0.0,0.0,0.934834,-9.90952,-76.4319,66.5223,111.112
67,257,12840,Muon,0.0,0.0,0.925631,-7.19937,117.703,124.902,173.606
68,336,16800,Muon,0.0,0.0,0.955857,-115.563,-24.0413,91.5213,423.684
69,284,14161,Muon,0.0,0.0,0.945168,86.2873,76.3191,9.96815,376.037
70,226,11254,Muon,0.0,0.0,0.782017,-4.9973,-115.582,110.584,113.61
71,377,18810,Muon,0.0,0.0,0.774575,-50.9919,-71.0433,20.0514,33.0562
72,7,346,Muon,0.0,0.0,0.836558,-18.1335,-115.356,97.2225,104.642
73,266,13282,Muon,0.0,0.0,0.967507,-115.471,92.8768,208.348,529.528
74,383,19134,Muon,0.0,0.0,0.909522,-115.531,-69.5444,45.9862,79.3541
75,371,18521,Muon,0.0,0.0,0.897593,21.7008,60.663,38.9622,145.653
76,371,18521,Muon,0.0,0.0,0.897593,24.2132,27.8816,3.66846,7.7331
77,386,19283,Muon,0.0,0.0,0.930533,-113.005,-80.2936,32.711,101.731
78,194,9691,Muon,0.0,0.0,0.894654,74.5121,117.347,42.8352,71.1054
79,194,9665,Muon,0.0,0.0,0.871372,80.8689,110.109,29.2403,60.0113
80,372,18599,Muon,0.0,0.0,0.739721,-55.409,-51.5199,3.88918,10.3197
81,209,10442,Muon,0.0,0.0,0.960802,-44.2686,-25.9814,18.2872,264.795
82,389,19401,Muon,0.0,0.0,0.794014,117.3,90.9154,26.3845,38.7125
83,273,13617,Muon,0.0,0.0,0.962871,16.923,-93.5464,110.469,397.896
84,392,19566,Muon,0.0,0.0,0.953899,117.373,16.3159,101.057,240.314
85,217,10804,Muon,0.0,1.0,0.521072,34.4071,59.6892,25.2821,66.8603
86,325,16201,Muon,0.0,0.0,0.955807,65.7848,-115.425,181.21,212.404
87,200,9994,Muon,0.0,0.0,0.812929,-99.4069,-85.055,14.3519,36.8468
88,371,18502,Muon,0.0,0.0,0.947634,-28.2104,2.18863,30.399,132.886
89,383,19137,Muon,0.0,0.0,0.950305,77.6949,117.397,39.7022,111.359
90,239,11912,Muon,0.0,0.0,0.959074,60.6918,81.4582,20.7664,482.295
91,392,19553,Muon,0.0,0.0,0.935478,24.8675,117.109,92.2416,175.653
92,392,19553,Muon,0.0,0.0,0.935478,25.8237,23.0194,2.80432,5.62046
93,368,18379,Muon,0.0,0.0,0.899944,-64.0799,-26.196,37.8839,88.3057
94,268,13361,Muon,0.0,0.0,0.75037,-115.498,-66.2723,49.2257,51.8705
95,242,12087,Muon,0.0,0.0,0.834269,117.525,56.9654,60.5596,68.6425
96,264,13152,Muon,0.0,0.0,0.887713,24.8504,-107.167,132.018,148.965
97,256,12759,Muon,0.0,0.0,0.948399,14.274,62.7028,48.4288,121.255
98,289,14402,Muon,0.0,0.0,0.953076,117.07,-33.5738,150.644,197.962
99,369,18429,Muon,0.0,0.0,0.804648,-78.1965,-2.21487,75.9816,86.5057
100,203,10105,Muon,0.0,0.0,0.900533,-32.0814,-37.8094,5.72808,60.0971
101,186,9287,Muon,0.0,1.0,0.801488,56.0122,117.214,61.202,79.2036
102,336,16752,Muon,0.0,0.0,0.941541,78.685,79.2329,0.547897,122.0
103,239,11920,Muon,0.0,0.0,0.899596,-9.44499,-115.339,105.894,121.353
104,239,11920,Muon,0.0,0.0,0.899596,-12.859,11.935,24.7941,46.6758
105,204,10151,Muon,0.0,0.0,0.820397,35.1275,45.3847,10.2572,13.2245
106,204,10151,Muon,0.0,0.0,0.820397,36.8467,44.6056,7.75884,9.89553
107,204,10151,Muon,0.0,0.0,0.820397,36.972,34.8747,2.09731,2.70365
108,234,11692,Muon,0.0,0.0,0.935677,-4.17824,-61.2748,57.0965,92.0074
109,368,18369,Muon,0.0,0.0,0.893117,16.1274,-41.7388,57.8662,93.0547
110,223,11110,Muon,0.0,0.0,0.959994,-23.663,-115.367,91.7035,219.724
111,200,9983,Muon,0.0,0.0,0.96635,-90.167,-92.3255,2.15855,299.804
112,369,18405,Muon,0.0,0.0,0.909522,-115.436,-50.1031,65.333,92.6774
113,157,7822,Muon,0.0,0.0,0.946023,-78.4992,-115.422,36.9232,116.96
114,237,11841,Muon,0.0,0.0,0.954924,112.879,3.1917,109.688,212.908
115,372,18588,Muon,0.0,0.0,0.720831,-10.1623,-7.92883,2.23342,6.8464
116,372,18588,Muon,0.0,0.0,0.720831,-10.1978,-10.8648,0.667035,0.670793
117,386,19257,Muon,0.0,0.0,0.695552,13.2566,-5.08088,18.3375,124.059
118,196,9755,Muon,0.0,0.0,0.777312,-40.3994,-115.555,75.1558,76.8132
119,366,18270,Muon,0.0,1.0,0.965465,-46.6241,-49.957,3.33293,23.0912
120,283,14101,Muon,0.0,0.0,0.957866,-8.71141,29.5283,38.2397,216.237
121,242,12081,Muon,0.0,0.0,0.790004,-115.399,-92.7914,22.6073,35.7172
122,258,12865,Muon,0.0,0.0,0.951664,117.41,-28.55,145.96,185.185
123,392,19569,Muon,0.0,0.0,0.925286,-73.7138,-114.337,40.6229,78.6199
124,385,19208,Muon,0.0,0.0,0.686366,-3.88587,-12.5806,8.69476,57.6021
125,385,19208,Muon,0.0,0.0,0.686366,-3.82362,1.83638,5.66,44.0068
126,385,19208,Muon,0.0,0.0,0.686366,2.02958,4.91107,2.88149,17.7283
127,194,9681,Muon,0.0,0.0,0.881927,117.26,7.18103,110.079,130.463
128,273,13642,Muon,0.0,0.0,0.945193,68.3952,54.7302,13.665,80.8827
129,336,16784,Muon,0.0,0.0,0.746857,-38.7623,-40.4576,1.69532,20.0198
130,336,16784,Muon,0.0,0.0,0.746857,-38.8703,-36.7218,2.14847,16.4878
131,336,16784,Muon,0.0,0.0,0.746857,-37.3359,-37.0951,0.240826,2.15562
132,351,17547,Muon,0.0,0.0,0.673762,74.0224,61.4072,12.6152,25.3433
133,351,17547,Muon,0.0,0.0,0.673762,72.9002,69.0356,3.86456,8.36584
134,336,16781,Muon,0.0,0.0,0.859072,59.4131,-53.8625,113.276,157.91
135,101,5023,Muon,0.0,0.0,0.754764,3.89303,31.0641,27.1711,31.8413
136,251,12518,Muon,0.0,0.0,0.910984,-57.9484,14.7449,72.6933,104.699
137,205,10242,Muon,0.0,0.0,0.796595,-115.491,-94.4838,21.0069,33.1767
138,263,13127,Muon,0.0,1.0,0.517325,-86.7969,-115.497,28.7003,227.641
139,279,13939,Muon,0.0,0.0,0.86714,-21.4233,-65.045,43.6217,123.145
140,182,9090,Muon,0.0,0.0,0.831328,-115.183,-72.9846,42.1985,86.8867
141,280,13989,Muon,0.0,0.0,0.932269,-51.0579,-115.47,64.4119,98.6394
142,264,13168,Muon,0.0,0.0,0.943038,-59.0244,-90.9007,31.8763,125.268
143,283,14136,Muon,0.0,0.0,0.730542,117.116,94.0923,23.0236,23.3618
144,349,17404,Muon,0.0,0.0,0.827054,-26.6256,-16.4213,10.2043,37.6303
145,379,18919,Muon,0.0,0.0,0.910151,46.0633,117.455,71.3913,100.093
146,233,11648,Muon,0.0,0.0,0.939942,16.1121,-115.365,131.477,159.552
147,377,18837,Muon,0.0,0.0,0.844134,85.9108,117.423,31.5123,122.68
148,261,13012,Muon,0.0,0.0,0.953772,-28.6455,-115.569,86.9233,150.326
149,238,11892,Muon,0.0,0.0,0.800011,-48.9988,-115.289,66.2906,77.0435
150,371,18541,Muon,0.0,0.0,0.828424,-115.491,-57.7384,57.7524,81.367
151,152,7580,Muon,0.0,0.0,0.81073,-77.7301,-74.9457,2.7844,30.8046
152,216,10787,Muon,0.0,0.0,0.647306,74.8323,90.4148,15.5826,32.1376
153,216,10787,Muon,0.0,0.0,0.647306,91.3764,84.4517,6.92468,24.235
154,216,10787,Muon,0.0,0.0,0.647306,76.6342,84.2642,7.63002,13.9415
155,270,13496,Muon,0.0,0.0,0.955115,-115.462,13.6248,129.086,177.193
156,264,13156,Muon,0.0,0.0,0.813065,-28.9044,-43.8813,14.977,33.4211
157,249,12428,Muon,0.0,0.0,0.882931,37.9852,29.1561,8.82905,46.7529
158,249,12428,Muon,0.0,0.0,0.882931,38.5909,51.8884,13.2974,14.3933
159,211,10516,Muon,0.0,1.0,0.629727,84.7658,71.9399,12.8259,119.405
160,274,13681,Muon,0.0,0.0,0.95239,117.513,-50.0839,167.597,202.326
161,274,13681,Muon,0.0,0.0,0.95239,-14.367,-11.8103,2.55662,5.75469
162,241,12015,Muon,0.0,0.0,0.733743,-115.465,-89.2242,26.2407,26.9335
163,367,18302,Muon,0.0,0.0,0.850668,-60.1923,95.4789,155.671,386.918
164,267,13346,Muon,0.0,0.0,0.938403,117.293,52.6101,64.6831,152.438
165,241,12003,Muon,0.0,0.0,0.772649,-17.5259,-13.3146,4.21135,13.756
166,207,10327,Muon,0.0,1.0,0.745531,26.2291,20.2335,5.99561,24.544
167,238,11895,Muon,0.0,0.0,0.860437,117.667,-78.4284,196.096,210.619
168,260,12955,Muon,0.0,0.0,0.69766,47.0038,46.6675,0.336384,6.93689
169,266,13294,Muon,0.0,0.0,0.879501,-49.267,-48.0105,1.25653,261.116
170,261,13028,Muon,0.0,0.0,0.946886,-20.02,3.30967,23.3296,123.926
171,377,18814,Muon,0.0,0.0,0.866851,117.414,82.9801,34.4335,54.5511
172,288,14362,Muon,0.0,0.0,0.787243,-68.7957,-69.7854,0.989746,0.991005
173,220,10953,Muon,0.0,0.0,0.956655,0.211778,81.666,81.4542,376.478
174,273,13628,Muon,0.0,0.0,0.950021,57.3597,-115.566,172.925,269.822
175,8,358,Muon,0.0,0.0,0.771312,-55.5543,-225.804,170.25,679.125
176,8,358,Muon,0.0,0.0,0.771312,-55.7323,-49.8841,5.84823,131.848
177,8,358,Muon,0.0,0.0,0.771312,-55.7406,-56.2379,0.497307,0.630458
178,242,12098,Muon,0.0,0.0,0.941753,-72.8149,86.4682,159.283,216.502
179,276,13792,Muon,0.0,0.0,0.727011,-101.704,-104.297,2.59271,4.1175
180,170,8483,Muon,0.0,0.0,0.864709,94.9913,57.8654,37.1259,73.4049
181,289,14448,Muon,0.0,0.0,0.797658,1.21323,117.74,116.527,407.453
182,289,14448,Muon,0.0,0.0,0.797658,1.14998,-36.931,38.081,122.336
183,289,14448,Muon,0.0,0.0,0.797658,49.4405,49.4893,0.0487785,4.15402
184,200,9964,Muon,0.0,0.0,0.940123,117.318,37.4354,79.883,118.467
185,283,14106,Muon,0.0,1.0,0.75095,55.3388,113.724,58.3848,134.232
186,288,14392,Muon,0.0,0.0,0.876311,18.3641,75.7115,57.3474,83.8719
187,260,12952,Muon,0.0,0.0,0.867948,-89.1198,-115.394,26.2737,117.803
188,260,12952,Muon,0.0,0.0,0.867948,-115.439,-114.688,0.751167,2.86582
189,277,13850,Muon,0.0,0.0,0.956733,22.5767,-51.692,74.2687,265.524
190,278,13866,Muon,0.0,0.0,0.707039,85.4749,82.1299,3.34499,14.3201
191,241,12025,Muon,0.0,0.0,0.847749,77.8738,117.367,39.4933,67.6391
192,238,11860,Muon,0.0,0.0,0.956123,-9.46061,-54.7019,45.2413,207.384
193,205,10207,Muon,0.0,0.0,0.504855,6.12508,9.99968,3.8746,7.51022
194,262,13052,Muon,0.0,0.0,0.94925,-21.3472,-90.6468,69.2996,161.667
195,7,324,Muon,0.0,0.0,0.90473,-84.4287,-54.7422,29.6864,312.264
196,207,10314,Muon,0.0,0.0,0.73664,-35.3637,-35.1998,0.163902,15.7828
197,371,18550,Muon,0.0,0.0,0.960398,17.0767,1.84593,15.2308,142.984
198,387,19301,Muon,0.0,0.0,0.891685,23.5692,-18.6986,42.2679,91.5184
199,386,19274,Muon,0.0,0.0,0.857588,117.367,54.6737,62.6936,102.024
200,385,19240,Muon,0.0,0.0,0.902983,-32.2475,-77.3215,45.074,97.1165
201,223,11103,Muon,0.0,0.0,0.866744,97.1412,86.1699,10.9713,47.0815
202,281,14024,Muon,0.0,0.0,0.796253,59.3679,-115.326,174.693,177.843
203,152,7585,Muon,0.0,0.0,0.862511,61.5592,-115.229,176.788,187.848
204,266,13298,Muon,0.0,0.0,0.779785,78.3923,117.258,38.8654,41.9854
205,278,13879,Muon,0.0,1.0,0.801146,27.2954,45.3539,18.0585,22.0675
206,260,12968,Muon,0.0,0.0,0.824039,74.8926,-115.362,190.255,194.967
207,284,14178,Muon,0.0,0.0,0.944138,117.423,-1.8464,119.269,140.217
208,271,13536,Muon,0.0,1.0,0.514368,56.8311,13.2694,43.5617,44.4841
209,242,12059,Muon,0.0,0.0,0.947736,96.6191,53.1629,43.4562,120.386
210,157,7805,Muon,0.0,0.0,0.946062,-91.5104,-95.156,3.64559,125.251
211,194,9688,Muon,0.0,0.0,0.735195,54.6761,52.9655,1.71066,5.83923
212,271,13504,Muon,0.0,0.0,0.947825,-20.756,-23.6446,2.88867,3.06008
213,278,13865,Muon,0.0,0.0,0.884674,117.515,-58.392,175.907,205.955
214,239,11903,Muon,0.0,0.0,0.945747,15.0172,117.483,102.466,163.154
215,209,10423,Muon,0.0,0.0,0.783141,-115.395,-95.0085,20.386,32.4532
216,281,14009,Muon,0.0,0.0,0.764202,2.58981,-18.2064,20.7963,179.545
217,199,9936,Muon,0.0,0.0,0.73641,-85.7506,-92.3212,6.57054,8.4351
218,199,9936,Muon,0.0,0.0,0.73641,-85.6505,-88.6707,3.02028,3.73274
219,268,13363,Muon,0.0,0.0,0.855268,-115.566,-86.8411,28.7251,47.1264
220,8,367,Muon,0.0,0.0,0.933403,7.98152,40.7226,32.7411,91.0016
221,289,14407,Muon,0.0,0.0,0.905962,117.033,-30.1492,147.182,195.02
222,242,12100,Muon,0.0,0.0,0.956503,-115.433,-19.5928,95.8402,402.017
223,204,10180,Muon,0.0,0.0,0.861942,7.63408,-115.145,122.78,133.031
224,287,14349,Muon,0.0,0.0,0.933789,21.1827,91.3064,70.1237,128.971
225,367,18332,Muon,0.0,0.0,0.743148,93.425,117.499,24.0735,30.8735
226,233,11602,Muon,0.0,0.0,0.771214,117.391,95.3215,22.0695,43.2542
227,285,14214,Muon,0.0,1.0,0.74382,4.86879,8.23646,3.36766,32.8291
228,362,18071,Muon,0.0,0.0,0.801178,-115.806,-26.549,89.257,96.6252
229,379,18935,Muon,0.0,0.0,0.571697,-115.098,86.166,201.264,205.264
230,259,12904,Muon,0.0,0.0,0.923676,80.6535,86.4505,5.797,70.4724
231,234,11676,Muon,0.0,0.0,0.949019,-64.2033,-115.467,51.2641,256.24
232,234,11676,Muon,0.0,0.0,0.949019,-87.4231,-87.4111,0.0119858,5.06842
233,186,9272,Muon,0.0,0.0,0.934938,2.11614,-83.4481,85.5643,125.388
234,325,16232,Muon,0.0,0.0,0.856004,28.4841,117.397,88.9132,115.76
235,385,19235,Muon,0.0,0.0,0.954224,61.6657,-56.0699,117.736,171.171
236,286,14294,Muon,0.0,0.0,0.826834,-97.7601,-92.3342,5.42588,39.6779
237,286,14294,Muon,0.0,0.0,0.826834,-96.1513,-95.8379,0.313354,1.24276
238,249,12418,Muon,0.0,0.0,0.947777,-14.5769,-5.30742,9.26946,85.4584
239,217,10807,Muon,0.0,0.0,0.638022,-45.6199,-72.3177,26.6978,221.499
240,260,12967,Muon,0.0,0.0,0.74733,74.2086,102.848,28.6396,30.7534
241,257,12821,Muon,0.0,0.0,0.952249,-38.1559,117.138,155.294,345.221
242,286,14284,Muon,0.0,0.0,0.940252,93.8208,87.5377,6.2831,164.952
243,379,18904,Muon,0.0,0.0,0.914934,-41.7708,117.28,159.051,186.797
244,389,19408,Muon,0.0,0.0,0.922037,-57.0372,-8.75549,48.2817,88.2641
245,194,9664,Muon,0.0,0.0,0.775131,64.595,78.9279,14.3329,29.2088
246,256,12766,Muon,0.0,0.0,0.834519,-29.1284,-94.4848,65.3564,249.53
247,234,11681,Muon,0.0,0.0,0.914252,117.122,28.1809,88.9406,113.041
248,263,13115,Muon,0.0,0.0,0.95777,-76.9572,15.0112,91.9684,162.158
249,205,10222,Muon,0.0,0.0,0.945546,50.0558,59.0697,9.01392,106.331
250,237,11843,Muon,0.0,0.0,0.828032,-115.311,-63.3226,51.9879,63.2044
251,366,18271,Muon,0.0,0.0,0.814704,60.9991,-72.3721,133.371,150.232
252,196,9756,Muon,0.0,0.0,0.926843,83.8581,117.83,33.9723,82.9307
253,238,11875,Muon,0.0,0.0,0.920659,-53.2311,-83.2082,29.9771,277.236
254,237,11801,Muon,0.0,0.0,0.845833,-11.1917,-115.435,104.243,182.803
255,367,18334,Muon,0.0,0.0,0.962707,-23.2073,-115.323,92.1161,145.956
256,367,18334,Muon,0.0,0.0,0.962707,-27.4417,-18.1159,9.32579,12.1747
257,267,13320,Muon,0.0,0.0,0.809863,-81.7912,-115.522,33.7306,44.8471
258,267,13320,Muon,0.0,0.0,0.809863,-81.8327,-49.5683,32.2644,42.2026
259,389,19426,Muon,0.0,0.0,0.823398,32.5195,39.1373,6.61776,30.8962
260,275,13734,Muon,0.0,0.0,0.872709,21.1336,-115.313,136.447,280.378
261,343,17142,Muon,0.0,0.0,0.833735,-94.9333,117.492,212.426,229.064
262,366,18264,Muon,0.0,0.0,0.913853,66.8708,84.4996,17.6289,107.155
263,284,14165,Muon,0.0,0.0,0.863269,84.1004,48.3017,35.7987,65.1127
264,188,9388,Muon,0.0,0.0,0.94379,49.512,52.555,3.043,206.752
265,343,17115,Muon,0.0,0.0,0.67381,-42.2704,-47.8813,5.61084,56.7777
266,229,11421,Muon,0.0,0.0,0.916245,-115.363,-92.3019,23.061,77.3933
267,216,10760,Muon,0.0,0.0,0.785866,-59.2705,-40.0163,19.2542,27.7075
268,367,18323,Muon,0.0,0.0,0.935038,18.0025,109.085,91.0829,125.645
269,170,8454,Muon,0.0,0.0,0.948678,117.274,-66.8947,184.169,216.846
270,205,10212,Muon,0.0,0.0,0.859167,89.8438,29.2589,60.5849,86.4087
271,379,18946,Muon,0.0,1.0,0.905154,65.7554,32.5056,33.2499,93.4897
272,377,18820,Muon,0.0,0.0,0.955492,-44.8566,-110.569,65.7126,230.287
273,290,14475,Muon,0.0,0.0,0.789083,9.71291,-15.1822,24.8951,41.0708
274,111,5544,Muon,0.0,0.0,0.940176,-57.9531,-80.8213,22.8682,165.434
275,288,14390,Muon,0.0,0.0,0.962538,-115.364,-3.41845,111.946,259.814
276,389,19404,Muon,0.0,0.0,0.809717,-19.4938,-6.48833,13.0055,45.5758
277,256,12777,Muon,0.0,0.0,0.780543,-29.6986,-50.1051,20.4064,31.5844
278,170,8499,Muon,0.0,1.0,0.710851,-67.5921,-29.501,38.091,713.619
279,247,12315,Muon,0.0,0.0,0.783638,116.655,116.174,0.480492,0.528125
280,335,16713,Muon,0.0,0.0,0.851667,22.6432,-10.0179,32.6611,46.3054
281,335,16713,Muon,0.0,0.0,0.851667,22.5679,30.1967,7.62875,11.3015
282,349,17410,Muon,0.0,0.0,0.874515,76.9503,97.0662,20.1159,48.9055
283,249,12422,Muon,0.0,0.0,0.815285,-59.1077,-22.8688,36.239,49.3229
284,233,11603,Muon,0.0,0.0,0.848822,-77.5469,-115.383,37.8357,54.7612
285,385,19213,Muon,0.0,0.0,0.813247,117.381,21.5824,95.799,114.002
286,259,12910,Muon,0.0,0.0,0.94701,6.84886,117.298,110.449,143.206
287,223,11134,Muon,0.0,0.0,0.866079,43.8638,117.321,73.4568,89.2011
288,272,13591,Muon,0.0,0.0,0.616231,12.1951,24.2975,12.1023,22.695
289,368,18377,Muon,0.0,0.0,0.701877,41.0911,40.7698,0.321354,18.5184
290,188,9395,Muon,0.0,0.0,0.941289,8.00653,-35.4481,43.4546,119.597
291,280,13973,Muon,0.0,0.0,0.941434,27.7971,64.0474,36.2503,102.179
292,336,16762,Muon,0.0,0.0,0.768418,-26.7416,45.3506,72.0922,192.71
293,272,13551,Muon,0.0,0.0,0.730096,-115.551,-79.9362,35.6148,41.1056
294,101,5032,Muon,0.0,0.0,0.883141,93.4148,117.365,23.9501,58.8542
295,389,19437,Muon,0.0,0.0,0.951813,-63.8819,-41.972,21.9099,110.394
296,101,5013,Muon,0.0,0.0,0.740015,39.526,36.759,2.76705,23.6755
297,264,13191,Muon,0.0,0.0,0.873716,-52.8523,-115.478,62.6258,84.0358
298,369,18433,Muon,0.0,0.0,0.777411,54.6858,54.128,0.557804,8.81481
299,369,18433,Muon,0.0,0.0,0.777411,53.6998,54.7294,1.02951,3.5038
300,203,10140,Muon,0.0,0.0,0.952558,-8.78172,-25.3149,16.5332,231.487
301,387,19345,Muon,0.0,0.0,0.930785,-41.819,58.8971,100.716,192.962
302,262,13083,Muon,0.0,0.0,0.922604,95.5087,-6.07486,101.584,118.97
303,203,10123,Muon,0.0,0.0,0.958306,-30.9525,117.485,148.437,297.882
304,196,9782,Muon,0.0,0.0,0.767716,-43.1178,-34.997,8.12078,19.3276
305,261,13048,Muon,0.0,0.0,0.770398,-115.518,-84.3231,31.1953,34.9114
306,383,19109,Muon,0.0,0.0,0.76582,-85.1079,-87.6804,2.57248,15.2448
307,260,12978,Muon,0.0,0.0,0.75891,-115.146,-74.6322,40.5141,41.578
308,247,12322,Muon,0.0,0.0,0.882101,74.0834,85.8211,11.7377,56.3531
309,101,5015,Muon,0.0,0.0,0.806549,22.8881,49.5887,26.7007,41.9443
310,351,17543,Muon,0.0,0.0,0.872343,34.5432,-63.7573,98.3005,107.942
311,351,17543,Muon,0.0,0.0,0.872343,34.5459,54.7539,20.208,23.9325
312,271,13529,Muon,0.0,0.0,0.847616,47.8473,117.417,69.5694,90.2598
313,152,7578,Muon,0.0,0.0,0.963802,15.0658,117.47,102.404,161.81
314,325,16222,Muon,0.0,0.0,0.756974,-14.7725,-7.70496,7.06758,17.7425
315,251,12508,Muon,0.0,0.0,0.857041,-115.567,-25.6113,89.956,192.154
316,209,10439,Muon,0.0,0.0,0.950198,33.524,18.3723,15.1517,111.075
317,267,13318,Muon,0.0,0.0,0.965471,-57.1651,39.077,96.2422,289.281
