Type  Num0  Pred  Prob
Muon  0.000000  1.000000  0.660674
Muon  0.000000  0.000000  0.925204
Muon  0.000000  0.000000  0.708408
Pion  1.000000  1.000000  0.846869
Pion  1.000000  1.000000  0.999944
Muon  0.000000  0.000000  0.965090
Pion  1.000000  1.000000  0.995220
Muon  0.000000  0.000000  0.852560
Pion  1.000000  1.000000  0.925005
Muon  0.000000  0.000000  0.870323
Pion  1.000000  1.000000  0.999240
Muon  0.000000  0.000000  0.766236
Muon  0.000000  0.000000  0.881099
Muon  0.000000  0.000000  0.815100
Muon  0.000000  0.000000  0.740017
Pion  1.000000  0.000000  0.787901
Pion  1.000000  1.000000  0.999973
Pion  1.000000  1.000000  0.999771
Pion  1.000000  0.000000  0.772600
Pion  1.000000  1.000000  0.998751
Muon  0.000000  0.000000  0.952351
Muon  0.000000  0.000000  0.675981
Muon  0.000000  0.000000  0.944470
Pion  1.000000  1.000000  0.814696
Pion  1.000000  1.000000  0.999825
Muon  0.000000  1.000000  0.855447
Muon  0.000000  0.000000  0.792435
Pion  1.000000  0.000000  0.752633
Muon  0.000000  0.000000  0.922371
Pion  1.000000  1.000000  0.999905
Pion  1.000000  1.000000  0.988322
Muon  0.000000  0.000000  0.939521
Muon  0.000000  0.000000  0.886000
Muon  0.000000  0.000000  0.935652
Pion  1.000000  0.000000  0.808730
Pion  1.000000  1.000000  0.980740
Pion  1.000000  1.000000  0.999676
Pion  1.000000  1.000000  0.526819
Muon  0.000000  0.000000  0.885502
Muon  0.000000  0.000000  0.730188
Muon  0.000000  0.000000  0.802959
Pion  1.000000  1.000000  0.991338
Pion  1.000000  1.000000  0.897921
Muon  0.000000  0.000000  0.786334
Pion  1.000000  1.000000  0.972995
Muon  0.000000  0.000000  0.745009
Pion  1.000000  1.000000  0.996455
Pion  1.000000  1.000000  0.734949
Pion  1.000000  1.000000  0.983647
Muon  0.000000  0.000000  0.820821
Muon  0.000000  1.000000  0.730464
Pion  1.000000  1.000000  0.999029
Pion  1.000000  1.000000  0.999889
Muon  0.000000  0.000000  0.932870
Pion  1.000000  1.000000  0.955974
Pion  1.000000  1.000000  0.964316
Pion  1.000000  1.000000  0.999867
Muon  0.000000  0.000000  0.871370
Muon  0.000000  0.000000  0.943010
Pion  1.000000  1.000000  0.999809
Muon  0.000000  0.000000  0.764265
Pion  1.000000  1.000000  0.792139
Muon  0.000000  0.000000  0.870985
Muon  0.000000  0.000000  0.949636
Pion  1.000000  1.000000  0.696007
Muon  0.000000  0.000000  0.956025
Muon  0.000000  0.000000  0.951073
Muon  0.000000  0.000000  0.942658
Pion  1.000000  1.000000  0.993678
Pion  1.000000  1.000000  0.933088
Muon  0.000000  0.000000  0.840027
Pion  1.000000  1.000000  0.995557
Muon  0.000000  0.000000  0.890813
Muon  0.000000  0.000000  0.951057
Pion  1.000000  1.000000  0.806906
Pion  1.000000  1.000000  0.916608
Muon  0.000000  0.000000  0.827700
Pion  1.000000  1.000000  0.764061
Pion  1.000000  1.000000  0.999136
Pion  1.000000  1.000000  0.637855
Muon  0.000000  0.000000  0.809605
Pion  1.000000  0.000000  0.861317
Pion  1.000000  1.000000  0.996663
Muon  0.000000  0.000000  0.726875
Pion  1.000000  0.000000  0.780748
Muon  0.000000  0.000000  0.737550
Pion  1.000000  1.000000  0.999941
Pion  1.000000  1.000000  0.948361
Pion  1.000000  1.000000  0.995439
Muon  0.000000  0.000000  0.928192
Pion  1.000000  0.000000  0.736480
Muon  0.000000  0.000000  0.851163
Muon  0.000000  0.000000  0.947828
Muon  0.000000  0.000000  0.561064
Pion  1.000000  0.000000  0.783195
Muon  0.000000  0.000000  0.707662
Pion  1.000000  1.000000  0.999809
Muon  0.000000  0.000000  0.740451
Pion  1.000000  0.000000  0.948380
Muon  0.000000  0.000000  0.765873
Muon  0.000000  0.000000  0.899772
Muon  0.000000  0.000000  0.929156
Pion  1.000000  1.000000  0.675055
Muon  0.000000  0.000000  0.842396
Pion  1.000000  1.000000  0.999865
Muon  0.000000  0.000000  0.738907
Pion  1.000000  1.000000  0.998542
Pion  1.000000  1.000000  0.996897
Pion  1.000000  1.000000  0.996631
Muon  0.000000  0.000000  0.932346
Pion  1.000000  1.000000  0.999867
Pion  1.000000  1.000000  0.573107
Muon  0.000000  0.000000  0.847500
Muon  0.000000  0.000000  0.807469
Muon  0.000000  0.000000  0.881046
Muon  0.000000  0.000000  0.805637
Muon  0.000000  0.000000  0.737407
Muon  0.000000  0.000000  0.800372
Muon  0.000000  0.000000  0.959261
Muon  0.000000  1.000000  0.553856
Pion  1.000000  1.000000  0.662305
Muon  0.000000  0.000000  0.939037
Muon  0.000000  0.000000  0.656588
Pion  1.000000  1.000000  0.998669
Pion  1.000000  1.000000  0.751338
Muon  0.000000  0.000000  0.857409
Pion  1.000000  1.000000  0.999361
Muon  0.000000  0.000000  0.802500
Pion  1.000000  1.000000  0.998547
Muon  0.000000  0.000000  0.959334
Pion  1.000000  1.000000  0.980377
Muon  0.000000  0.000000  0.761597
Pion  1.000000  1.000000  0.705173
Muon  0.000000  0.000000  0.787999
Muon  0.000000  0.000000  0.912480
Muon  0.000000  0.000000  0.800856
Pion  1.000000  1.000000  0.992629
Pion  1.000000  1.000000  0.915492
Muon  0.000000  0.000000  0.754517
Muon  0.000000  0.000000  0.698626
Muon  0.000000  0.000000  0.855510
Pion  1.000000  1.000000  0.999957
Pion  1.000000  0.000000  0.892712
Muon  0.000000  0.000000  0.559022
Muon  0.000000  0.000000  0.915534
Pion  1.000000  0.000000  0.731826
Pion  1.000000  0.000000  0.929702
Muon  0.000000  0.000000  0.960554
Pion  1.000000  1.000000  0.999988
Muon  0.000000  0.000000  0.870648
Muon  0.000000  0.000000  0.839596
Muon  0.000000  0.000000  0.960396
Muon  0.000000  1.000000  0.896685
Pion  1.000000  1.000000  0.999073
Muon  0.000000  0.000000  0.914970
Pion  1.000000  1.000000  0.943222
Pion  1.000000  1.000000  0.983177
Pion  1.000000  0.000000  0.791072
Pion  1.000000  1.000000  0.882672
Pion  1.000000  1.000000  0.982484
Muon  0.000000  0.000000  0.928396
Pion  1.000000  1.000000  0.948030
Pion  1.000000  1.000000  0.999358
Muon  0.000000  0.000000  0.953485
Pion  1.000000  0.000000  0.536034
Pion  1.000000  1.000000  0.999986
Muon  0.000000  0.000000  0.796889
Muon  0.000000  0.000000  0.789182
Muon  0.000000  0.000000  0.946491
Muon  0.000000  0.000000  0.745920
Muon  0.000000  0.000000  0.959856
Muon  0.000000  0.000000  0.812654
Pion  1.000000  1.000000  0.880538
Pion  1.000000  1.000000  0.666316
Pion  1.000000  1.000000  0.550418
Muon  0.000000  0.000000  0.961377
Pion  1.000000  0.000000  0.820412
Muon  0.000000  0.000000  0.672735
Pion  1.000000  1.000000  0.999426
Pion  1.000000  1.000000  0.997125
Muon  0.000000  1.000000  0.628779
Pion  1.000000  1.000000  0.771047
Pion  1.000000  1.000000  0.987727
Muon  0.000000  0.000000  0.851355
Muon  0.000000  0.000000  0.824333
Muon  0.000000  0.000000  0.829817
Pion  1.000000  1.000000  0.999650
Muon  0.000000  0.000000  0.550750
Pion  1.000000  1.000000  0.992202
Muon  0.000000  0.000000  0.955649
Muon  0.000000  1.000000  0.792671
Muon  0.000000  1.000000  0.969162
Pion  1.000000  0.000000  0.616054
Muon  0.000000  0.000000  0.683586
Pion  1.000000  0.000000  0.503261
Muon  0.000000  0.000000  0.919787
Muon  0.000000  0.000000  0.711968
Muon  0.000000  0.000000  0.957811
Pion  1.000000  1.000000  0.999994
Pion  1.000000  1.000000  0.999209
Muon  0.000000  0.000000  0.672735
Pion  1.000000  1.000000  0.695098
Muon  0.000000  0.000000  0.933620
Muon  0.000000  0.000000  0.956518
Muon  0.000000  0.000000  0.765558
Pion  1.000000  0.000000  0.688865
Muon  0.000000  0.000000  0.787620
Pion  1.000000  0.000000  0.835703
Pion  1.000000  0.000000  0.826176
Pion  1.000000  1.000000  0.957314
Pion  1.000000  1.000000  0.942363
Muon  0.000000  0.000000  0.720935
Pion  1.000000  1.000000  0.999887
Pion  1.000000  1.000000  0.998328
Muon  0.000000  0.000000  0.819131
Pion  1.000000  0.000000  0.761967
Muon  0.000000  0.000000  0.947498
Pion  1.000000  1.000000  0.979491
Pion  1.000000  0.000000  0.691131
Pion  1.000000  0.000000  0.792095
Muon  0.000000  0.000000  0.806644
Muon  0.000000  0.000000  0.963445
Muon  0.000000  0.000000  0.571663
Muon  0.000000  0.000000  0.752920
Muon  0.000000  0.000000  0.741675
Pion  1.000000  1.000000  0.970913
Pion  1.000000  1.000000  0.994241
Pion  1.000000  0.000000  0.850014
Pion  1.000000  1.000000  0.940450
Muon  0.000000  0.000000  0.749728
Muon  0.000000  0.000000  0.825404
Muon  0.000000  0.000000  0.947364
Muon  0.000000  1.000000  0.766586
Pion  1.000000  1.000000  0.999080
Muon  0.000000  0.000000  0.650824
Muon  0.000000  0.000000  0.772150
Muon  0.000000  1.000000  0.537781
Muon  0.000000  0.000000  0.947445
Pion  1.000000  1.000000  0.994985
Pion  1.000000  1.000000  0.979615
Pion  1.000000  1.000000  0.995336
Pion  1.000000  1.000000  0.999904
Muon  0.000000  0.000000  0.847346
Pion  1.000000  1.000000  0.999977
Muon  0.000000  0.000000  0.812296
Pion  1.000000  0.000000  0.583602
Muon  0.000000  0.000000  0.889343
Muon  0.000000  0.000000  0.878336
Muon  0.000000  0.000000  0.963817
Pion  1.000000  1.000000  0.862449
Pion  1.000000  1.000000  0.999260
Pion  1.000000  0.000000  0.636448
Muon  0.000000  0.000000  0.756429
Pion  1.000000  1.000000  0.999377
Pion  1.000000  1.000000  0.998888
Pion  1.000000  1.000000  0.998316
Muon  0.000000  0.000000  0.530824
Pion  1.000000  0.000000  0.772393
Muon  0.000000  0.000000  0.948999
Pion  1.000000  1.000000  0.986333
Pion  1.000000  0.000000  0.809835
Pion  1.000000  1.000000  0.696416
Muon  0.000000  0.000000  0.956513
Pion  1.000000  1.000000  0.980744
Pion  1.000000  0.000000  0.740518
Pion  1.000000  0.000000  0.863062
Pion  1.000000  1.000000  0.987347
Muon  0.000000  0.000000  0.950520
Muon  0.000000  0.000000  0.770379
Muon  0.000000  0.000000  0.702955
Muon  0.000000  0.000000  0.796851
Pion  1.000000  1.000000  0.999930
Muon  0.000000  0.000000  0.890528
Pion  1.000000  1.000000  0.999641
Pion  1.000000  1.000000  0.979808
Muon  0.000000  0.000000  0.710961
Pion  1.000000  1.000000  0.998015
Muon  0.000000  0.000000  0.966374
Muon  0.000000  1.000000  0.530332
Muon  0.000000  0.000000  0.952312
Muon  0.000000  0.000000  0.914757
Muon  0.000000  0.000000  0.533635
Muon  0.000000  0.000000  0.957025
Pion  1.000000  1.000000  0.920639
Pion  1.000000  1.000000  0.999952
Pion  1.000000  1.000000  0.998852
Pion  1.000000  0.000000  0.724239
Pion  1.000000  0.000000  0.900021
Pion  1.000000  1.000000  0.997577
Pion  1.000000  0.000000  0.840472
Pion  1.000000  1.000000  0.989515
Muon  0.000000  0.000000  0.901189
Muon  0.000000  0.000000  0.794488
Pion  1.000000  0.000000  0.922187
Muon  0.000000  0.000000  0.945476
Muon  0.000000  0.000000  0.878333
Muon  0.000000  0.000000  0.826427
Pion  1.000000  1.000000  0.995957
Pion  1.000000  1.000000  0.999564
Pion  1.000000  1.000000  0.999566
Pion  1.000000  1.000000  0.947674
Pion  1.000000  1.000000  0.996483
Pion  1.000000  1.000000  0.999813
Pion  1.000000  1.000000  0.999987
Pion  1.000000  1.000000  0.964669
Muon  0.000000  0.000000  0.810598
Muon  0.000000  0.000000  0.911363
Muon  0.000000  1.000000  0.750467
Muon  0.000000  0.000000  0.855089
Muon  0.000000  0.000000  0.955722
Muon  0.000000  0.000000  0.957675
Pion  1.000000  0.000000  0.756309
Muon  0.000000  0.000000  0.726351
Muon  0.000000  0.000000  0.553716
Muon  0.000000  0.000000  0.798617
Muon  0.000000  0.000000  0.943932
Muon  0.000000  0.000000  0.763247
Pion  1.000000  1.000000  0.999991
Muon  0.000000  0.000000  0.907989
Muon  0.000000  0.000000  0.811032
Muon  0.000000  0.000000  0.808986
Muon  0.000000  0.000000  0.784641
Muon  0.000000  0.000000  0.618072
Muon  0.000000  0.000000  0.790981
Pion  1.000000  1.000000  0.913431
Muon  0.000000  0.000000  0.837270
Muon  0.000000  0.000000  0.785753
Pion  1.000000  1.000000  0.999423
Muon  0.000000  0.000000  0.831341
Pion  1.000000  1.000000  0.999439
Muon  0.000000  0.000000  0.832289
Pion  1.000000  1.000000  0.999658
Muon  0.000000  0.000000  0.665898
Pion  1.000000  0.000000  0.752249
Muon  0.000000  0.000000  0.921357
Muon  0.000000  0.000000  0.819727
Pion  1.000000  1.000000  0.999983
Muon  0.000000  0.000000  0.892916
Muon  0.000000  0.000000  0.964727
Muon  0.000000  0.000000  0.846775
Pion  1.000000  1.000000  0.999620
Muon  0.000000  1.000000  0.769562
Pion  1.000000  1.000000  0.999737
Muon  0.000000  0.000000  0.821006
Muon  0.000000  1.000000  0.733368
Pion  1.000000  0.000000  0.788154
Pion  1.000000  0.000000  0.507551
Muon  0.000000  0.000000  0.844861
Pion  1.000000  1.000000  0.855362
Muon  0.000000  0.000000  0.949034
Pion  1.000000  1.000000  0.994185
Pion  1.000000  1.000000  0.999892
Muon  0.000000  0.000000  0.941870
Muon  0.000000  0.000000  0.752320
Pion  1.000000  1.000000  0.999997
Muon  0.000000  0.000000  0.709950
Muon  0.000000  0.000000  0.916836
Muon  0.000000  0.000000  0.790686
Pion  1.000000  1.000000  0.991201
Pion  1.000000  1.000000  0.880106
Muon  0.000000  0.000000  0.942458
Pion  1.000000  1.000000  0.971639
Pion  1.000000  1.000000  0.996828
Pion  1.000000  1.000000  0.999915
Muon  0.000000  0.000000  0.741732
Pion  1.000000  1.000000  0.753981
Pion  1.000000  1.000000  0.999956
Pion  1.000000  1.000000  0.867465
Muon  0.000000  0.000000  0.892464
Pion  1.000000  1.000000  0.917548
Pion  1.000000  0.000000  0.949916
Pion  1.000000  1.000000  0.934195
Pion  1.000000  1.000000  0.771758
Pion  1.000000  1.000000  0.998411
Pion  1.000000  1.000000  0.996325
Pion  1.000000  1.000000  0.946239
Pion  1.000000  1.000000  0.989206
Pion  1.000000  1.000000  0.994462
Pion  1.000000  1.000000  0.905277
Muon  0.000000  0.000000  0.907411
Pion  1.000000  1.000000  0.999889
Muon  0.000000  0.000000  0.870953
Muon  0.000000  0.000000  0.720388
Muon  0.000000  0.000000  0.949205
Muon  0.000000  0.000000  0.930679
Muon  0.000000  0.000000  0.918638
Pion  1.000000  1.000000  0.925659
Pion  1.000000  1.000000  0.999496
Pion  1.000000  1.000000  0.535958
Muon  0.000000  0.000000  0.953023
Muon  0.000000  0.000000  0.927353
Muon  0.000000  0.000000  0.944343
Muon  0.000000  0.000000  0.706007
Muon  0.000000  0.000000  0.765248
Pion  1.000000  1.000000  0.999931
Pion  1.000000  1.000000  0.973327
Pion  1.000000  1.000000  0.999986
Pion  1.000000  1.000000  0.999957
Pion  1.000000  1.000000  0.999512
Muon  0.000000  0.000000  0.740573
Pion  1.000000  1.000000  0.991108
Pion  1.000000  1.000000  0.991480
Muon  0.000000  0.000000  0.958246
Muon  0.000000  0.000000  0.518483
Pion  1.000000  1.000000  0.999253
Muon  0.000000  0.000000  0.887834
Muon  0.000000  0.000000  0.828306
Muon  0.000000  0.000000  0.829951
Pion  1.000000  1.000000  0.901779
Pion  1.000000  1.000000  0.999424
Pion  1.000000  1.000000  0.999055
Pion  1.000000  0.000000  0.762983
Muon  0.000000  0.000000  0.666306
Pion  1.000000  1.000000  0.998718
Muon  0.000000  0.000000  0.879577
Muon  0.000000  0.000000  0.945620
Pion  1.000000  1.000000  0.537217
Muon  0.000000  0.000000  0.880352
Pion  1.000000  1.000000  0.969120
Pion  1.000000  1.000000  0.997578
Pion  1.000000  1.000000  0.998988
Muon  0.000000  0.000000  0.875598
Muon  0.000000  0.000000  0.787110
Muon  0.000000  0.000000  0.958110
Muon  0.000000  0.000000  0.812687
Pion  1.000000  0.000000  0.788843
Pion  1.000000  1.000000  0.991406
Pion  1.000000  1.000000  0.995818
Muon  0.000000  0.000000  0.785957
Muon  0.000000  0.000000  0.900113
Pion  1.000000  1.000000  0.999974
